lat_lon_tuple|agg_road_bumpiness|total_road_readings|seg_dist
((41.938984000000005, -87.697807), (41.939037, -87.697807))|0.210295645221|1|5.88673895339
((41.964905, -87.68762199999999), (41.964905, -87.687546))|0.157205681052|1|6.30029002543
((41.881622, -87.62616), (41.881668, -87.62616700000001))|0.225994841038|1|5.14212695063
((41.903228999999996, -87.66628299999999), (41.903263, -87.666336))|0.195215475281|1|5.79673621894
((41.904305, -87.667961), (41.904327, -87.667999))|0.232038752014|1|3.98912117984
((41.932953000000005, -87.649025), (41.932983, -87.649025))|0.292582216193|1|3.33211283197
((41.885128, -87.622498), (41.885128, -87.622429))|0.189505009436|1|5.7271300114
((41.928799, -87.64888), (41.928864000000004, -87.64888))|0.173903888181|1|7.21957252536
((41.896606, -87.647751), (41.896679, -87.647758))|0.140581181773|1|8.12887232089
((41.917103000000004, -87.660576), (41.917107, -87.660484))|0.142066174652|1|7.64528451993
((41.950336, -87.699585), (41.950336, -87.699501))|0.152463790283|1|6.96506458655
((41.922127, -87.69609100000001), (41.922160999999996, -87.69614399999999))|0.262536987982|1|5.79576048563
((41.900387, -87.634346), (41.900417, -87.634354))|0.316354275631|1|3.39758062592
((41.886562, -87.69393199999999), (41.886562, -87.693855))|0.190439413697|1|6.39100217558
((41.884479999999996, -87.624847), (41.884479999999996, -87.624771))|0.209505970674|1|6.3082069401
((41.91713, -87.65864599999999), (41.91713, -87.658585))|0.195674650054|1|5.06058763315
((41.934509000000006, -87.649086), (41.93457, -87.649086))|0.194449477122|1|6.77529797218
((41.88562, -87.650246), (41.88562, -87.650177))|0.316686581744|1|5.72708607441
((41.886581, -87.69274899999999), (41.886581, -87.692711))|0.282099463117|1|3.1540001387
((41.886608, -87.647499), (41.886662, -87.647499))|0.202000993788|1|5.99775399057
((41.903866, -87.63448299999999), (41.903881, -87.63448299999999))|0.763514333135|1|1.66604784985
((41.890071999999996, -87.647705), (41.890175, -87.647591))|0.233761445271|1|14.8457735275
((41.88662, -87.68708000000001), (41.886623, -87.686882))|0.192691658982|1|16.4373679994
((41.900581, -87.62988299999999), (41.900581, -87.629837))|0.404521579581|1|3.81716654132
((41.889214, -87.63044000000001), (41.889214, -87.630386))|0.207829076607|1|4.48181617153
((41.881015999999995, -87.626152), (41.881081, -87.626152))|0.162050972897|1|7.21951156748
((41.915234000000005, -87.648415), (41.91531, -87.648422))|0.235717231703|1|8.46127918484
((41.925323, -87.64877299999999), (41.925385, -87.64877299999999))|0.227608972548|1|6.88635725299
((41.923640999999996, -87.64872), (41.923640999999996, -87.64872))|0.383142681052|2|0.0
((41.896561, -87.636528), (41.896561, -87.636459))|0.194809848006|1|5.72610890241
((41.951805, -87.700623), (41.951859000000006, -87.700623))|0.135733006596|1|5.99782309306
((41.900535999999995, -87.633377), (41.900535999999995, -87.633308))|0.20138430085|1|5.72575383181
((41.896599, -87.63329300000001), (41.896599, -87.63324))|0.212802449861|1|4.39831292748
((41.886715, -87.680672), (41.886715, -87.680588))|0.157528977826|1|6.97198574028
((41.926998, -87.65365600000001), (41.927040000000005, -87.653664))|0.241131680048|1|4.7119133073
((41.964847999999996, -87.690399), (41.964847999999996, -87.690331))|0.168608395448|1|5.63710662646
((41.910225, -87.634689), (41.910278000000005, -87.634697))|0.18312010082|1|5.92401163405
((41.886806, -87.642685), (41.886806, -87.642639))|0.289374182039|1|3.817986773
((41.935749, -87.697334), (41.935749, -87.697281))|0.244408967804|1|4.3956258108
((41.896747999999995, -87.647758), (41.896812, -87.647766))|0.175910884863|1|7.13939679731
((41.900532, -87.63385), (41.900535999999995, -87.633774))|0.429391799596|1|6.32225717058
((41.903, -87.628578), (41.903042, -87.62859300000001))|0.226497475743|1|4.82812933322
((41.946304, -87.698021), (41.946369, -87.698021))|0.174150998963|1|7.21959485944
((41.891544, -87.629639), (41.891613, -87.629646))|0.180957513501|1|7.68579155854
((41.895576, -87.647713), (41.895634, -87.647713))|0.164019853354|1|6.4420422751
((41.921227, -87.648628), (41.921616, -87.648643))|0.162112012632|1|43.2242224998
((41.795238, -87.58287), (41.795238, -87.582809))|0.226294420479|1|5.07020535203
((41.919682, -87.648575), (41.919743, -87.648575))|0.199638537845|1|6.77528021869
((41.890038, -87.653145), (41.890038, -87.653053))|0.146253973981|1|7.63558868729
((41.914867, -87.684402), (41.914902000000005, -87.684448))|0.198539603978|1|5.44761824015
((41.918568, -87.63768), (41.918606, -87.63768))|0.276207550688|1|4.22066552679
((41.894257, -87.629723), (41.894352000000005, -87.629723))|0.129481039488|1|10.5516185421
((41.884048, -87.621452), (41.884048, -87.621452))|0.33356172118|7|0.0
((41.886879, -87.669952), (41.886879, -87.66986800000001))|0.157411634757|1|6.9719679091
((41.898434, -87.628265), (41.898514, -87.628265))|0.152950574729|1|8.88558005362
((41.896111, -87.63419300000001), (41.896179, -87.63419300000001))|0.150897482303|1|7.55273993783
((41.885918, -87.64746099999999), (41.885979, -87.647469))|0.196054643315|1|6.80769998229
((41.886826, -87.673523), (41.886826, -87.673439))|0.116346225544|1|6.97197367242
((41.888992, -87.639992), (41.889084000000004, -87.639526))|0.29017333246|1|40.0036108578
((41.920746, -87.693665), (41.920845, -87.693657))|0.104744910284|1|11.0159572046
((41.919189, -87.65340400000001), (41.919239000000005, -87.65340400000001))|0.177476098233|1|5.55350788622
((41.913639, -87.64836899999999), (41.913703999999996, -87.648376))|0.196909072489|1|7.24287401229
((41.908066, -87.634613), (41.908119, -87.634613))|0.172604079568|1|5.88670679211
((41.931839000000004, -87.648987), (41.931931, -87.64899399999999))|0.118188317376|1|10.234957952
((41.913517, -87.64836899999999), (41.913540000000005, -87.64836899999999))|0.372584097082|1|2.55461106219
((41.886986, -87.62953900000001), (41.887012, -87.62953900000001))|0.45541397233|1|2.88780766309
((41.938559999999995, -87.697792), (41.938621999999995, -87.6978))|0.160631138738|1|6.9182598145
((41.89447, -87.634155), (41.894524, -87.634155))|0.183183514533|1|5.99776232182
((41.892303000000005, -87.634079), (41.892345, -87.634079))|0.240762543062|1|4.66492445882
((41.903927, -87.648094), (41.903957, -87.648094))|0.291454829343|1|3.3320957393
((41.887978000000004, -87.63458299999999), (41.887978000000004, -87.634529))|0.223362996921|37|4.48190255883
((41.901951000000004, -87.634407), (41.90202, -87.634407))|0.144569023858|1|7.66381755251
((41.918285, -87.653374), (41.918335, -87.65338100000001))|0.17644270736|1|5.58378607944
((41.917789, -87.68895699999999), (41.917823999999996, -87.689026))|0.178554215742|1|6.91945751264
((41.904476, -87.64810899999999), (41.904537, -87.64810899999999))|0.169767468919|1|6.77526201394
((41.887679999999996, -87.626785), (41.887737, -87.626816))|0.246138610027|1|6.83382753434
